geometry_model,metric,model,n_points,n_states,n_strings,plot_prefix,scratchpad_mode,seed,task,value
random_init,kmeans_purity_true_state,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.5194581649453675
random_init,kmeans_silhouette,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.522590696811676
random_init,within_state_distance,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,14.950977325439453
random_init,between_state_distance,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,15.05368709564209
random_init,between_within_ratio,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,1.0068697696456186
random_init,umap_available_and_plotted,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,1.0
trained,pca_explained_variance_pc1,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.3603547513484955
trained,pca_explained_variance_pc2,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.260904461145401
trained,pca_explained_variance_sum2,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.6212592124938965
trained,kmeans_ari_true_state,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.00011415603394712743
trained,kmeans_nmi_true_state,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.00015447605948544455
trained,kmeans_purity_true_state,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.5067162480078925
trained,kmeans_silhouette,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,0.47855713963508606
trained,within_state_distance,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,13.364869117736816
trained,between_state_distance,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,13.368051528930664
trained,between_within_ratio,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,1.000238117647529
trained,umap_available_and_plotted,direct,13177,2,800,parity_direct_trained_seed2,none,2,parity,1.0
random_init,pca_explained_variance_pc1,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.6862556338310242
random_init,pca_explained_variance_pc2,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.1098916232585907
random_init,pca_explained_variance_sum2,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.7961472272872925
random_init,kmeans_ari_true_state,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.0037498473187458077
random_init,kmeans_nmi_true_state,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.002761573754978427
random_init,kmeans_purity_true_state,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.5309250967595052
random_init,kmeans_silhouette,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,0.5879539847373962
random_init,within_state_distance,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,14.62796688079834
random_init,between_state_distance,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,14.672540664672852
random_init,between_within_ratio,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,1.0030471619356085
random_init,umap_available_and_plotted,direct,13177,2,800,parity_direct_random_init_seed2,none,2,parity,1.0
trained,pca_explained_variance_pc1,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,0.7738032937049866
trained,pca_explained_variance_pc2,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,0.0724894180893898
trained,pca_explained_variance_sum2,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,0.8462927341461182
trained,kmeans_ari_true_state,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,1.0
trained,kmeans_nmi_true_state,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,1.0
trained,kmeans_purity_true_state,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,1.0
trained,kmeans_silhouette,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,0.654045045375824
trained,within_state_distance,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,7.129642963409424
trained,between_state_distance,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,21.2071533203125
trained,between_within_ratio,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,2.9745042534600015
trained,umap_available_and_plotted,cot_true,13177,2,800,parity_cot_true_trained_seed2,true,2,parity,1.0
random_init,pca_explained_variance_pc1,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.6025969386100769
random_init,pca_explained_variance_pc2,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.12697085738182068
random_init,pca_explained_variance_sum2,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.7295677661895752
random_init,kmeans_ari_true_state,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.0037498473187458077
random_init,kmeans_nmi_true_state,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.002761573754978427
random_init,kmeans_purity_true_state,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.5309250967595052
random_init,kmeans_silhouette,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,0.5220319628715515
random_init,within_state_distance,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,14.918597221374512
random_init,between_state_distance,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,14.995882987976074
random_init,between_within_ratio,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,1.005180498236847
random_init,umap_available_and_plotted,cot_true,13177,2,800,parity_cot_true_random_init_seed2,true,2,parity,1.0
trained,pca_explained_variance_pc1,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.5990387201309204
trained,pca_explained_variance_pc2,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.15418951213359833
trained,pca_explained_variance_sum2,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.7532282471656799
trained,kmeans_ari_true_state,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.06721250899261792
trained,kmeans_nmi_true_state,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.18465172548844944
trained,kmeans_purity_true_state,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.6296577369659255
trained,kmeans_silhouette,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,0.641170084476471
trained,within_state_distance,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,10.96713638305664
trained,between_state_distance,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,13.140523910522461
trained,between_within_ratio,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,1.1981727455148212
trained,umap_available_and_plotted,cot_pad,13177,2,800,parity_cot_pad_trained_seed2,pad,2,parity,1.0
random_init,pca_explained_variance_pc1,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.6018103361129761
random_init,pca_explained_variance_pc2,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.13378047943115234
random_init,pca_explained_variance_sum2,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.7355908155441284
random_init,kmeans_ari_true_state,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.0037498473187458077
random_init,kmeans_nmi_true_state,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.002761573754978427
random_init,kmeans_purity_true_state,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.5309250967595052
random_init,kmeans_silhouette,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,0.5229817032814026
random_init,within_state_distance,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,14.899101257324219
random_init,between_state_distance,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,14.965378761291504
random_init,between_within_ratio,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,1.0044484229499886
random_init,umap_available_and_plotted,cot_pad,13177,2,800,parity_cot_pad_random_init_seed2,pad,2,parity,1.0
trained,pca_explained_variance_pc1,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.3895374536514282
trained,pca_explained_variance_pc2,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.2726428508758545
trained,pca_explained_variance_sum2,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.6621803045272827
trained,kmeans_ari_true_state,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.002087722079127375
trained,kmeans_nmi_true_state,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.0015612587617453144
